Company,Type,Screen (in),CPU,RAM,OS,Launch Year,Price (USD)
HP,Notebook,14,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,461.62
Dell,Ultrabook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,1041.52
HP,2-in-1 Convertible,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,894.46
HP,Notebook,14,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,693.07
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,722.69
Asus,Notebook,17.3,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,360.6
Asus,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,714.8
Acer,Notebook,15.6,Intel Core i3-7100U 2.4GHz,6GB,Windows 10,2017,306.25
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1433.13
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,No OS,2017,402.16
HP,Notebook,17.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,812.63
Acer,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,288.35
HP,Notebook,15.6,Intel Celeron N3060 1.6GHz,4GB,No OS,2016,165.59
HP,Notebook,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,519.16
Asus,Notebook,14,AMD E-Series 6110 1.5GHz,4GB,Windows 10 S,2016,177.74
Dell,Notebook,17.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,892.55
HP,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,593.33
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,408.54
Dell,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,287.07
Acer,Ultrabook,14,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,565.19
Acer,Notebook,15.6,Intel Core i3-7130U 2.7GHz,4GB,Windows 10,2017,365.71
HP,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,382.34
HP,Notebook,14,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,631.69
Lenovo,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,No OS,2016,161.35
Asus,Gaming,17.3,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,599.72
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,No OS,2017,319.04
HP,Notebook,13.3,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,446.91
Acer,Notebook,17.3,Intel Core i3-7130U 2.7GHz,4GB,Windows 10,2017,418.78
Lenovo,Notebook,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,713.54
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,No OS,2017,555.6
Toshiba,Notebook,15.6,Intel Core i5-6200U 2.3GHz,4GB,Windows 10,2016,384.89
HP,Notebook,15.6,AMD A6-9220 2.5GHz,4GB,Windows 10,2017,235.92
Asus,Ultrabook,14,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,702.66
HP,Ultrabook,12.5,Intel Core m5-6Y54 1.1GHz,8GB,Windows 10,2016,1287.67
Asus,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,219.94
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1297.26
Acer,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,285.79
Dell,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,798.73
Dell,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,574.78
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,318.4
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1208.39
HP,Ultrabook,14,Intel Core i5-7500U 2.7GHz,4GB,Windows 10,2017,691.79
HP,Notebook,15.6,Intel Core i5-8250U 1.6GHz,6GB,Windows 10,2018,395.76
Lenovo,2-in-1 Convertible,14,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,402.16
Asus,2-in-1 Convertible,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,840.76
Dell,2-in-1 Convertible,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,670.69
Toshiba,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,285.79
Asus,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,257.66
Acer,Notebook,17.3,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,514.68
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,465.45
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,689.87
Acer,Notebook,15.6,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,222.5
MSI,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1150.21
Acer,Notebook,15.6,Intel Pentium N4200 1.1GHz,4GB,Windows 10,2016,232.41
Dell,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,678.03
Acer,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,546.01
HP,Notebook,13.3,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,482.08
Huawei,Ultrabook,13,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,862.5
HP,Notebook,17.3,Intel Core i5-7200U 2.5GHz,6GB,Windows 10,2017,446.91
Lenovo,Notebook,15.6,AMD A6-9220 2.5GHz,4GB,No OS,2017,197.56
Toshiba,Notebook,15.6,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,312.65
HP,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,590.13
Dell,Notebook,15.6,Intel Core i3-7100U 2.4GHz,8GB,Windows 10,2017,293.47
Acer,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,287.07
MSI,Gaming,18.4,Intel Core i7-6920HQ 2.9GHz,32GB,Windows 10,2016,1789.57
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,519.8
HP,2-in-1 Convertible,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,958.4
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,16GB,Linux,2018,670.69
Dell,Ultrabook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,894.46
Lenovo,2-in-1 Convertible,13.9,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,1182.18
Toshiba,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,507.01
Xiaomi,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,No OS,2018,766.59
Dell,Notebook,17.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,990.37
Dell,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1532.55
Lenovo,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,No OS,2017,498.06
Acer,Ultrabook,13.3,Intel Core i5-7Y54 1.2GHz,8GB,Windows 10,2016,632.33
Dell,Notebook,17.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,693.71
Lenovo,2-in-1 Convertible,14,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,1805.55
Vero,Notebook,14,Intel Celeron N3350 1.1GHz,4GB,Windows 10,2016,166.23
Xiaomi,Ultrabook,13.3,Intel Core i5-7200U 2.5GHz,8GB,No OS,2017,639.3
Lenovo,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,No OS,2018,446.27
Dell,2-in-1 Convertible,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,536.42
HP,Notebook,17.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,584.38
Razer,Gaming,17.3,Intel Core i7-7820HK 2.9GHz,32GB,Windows 10,2017,3899.46
HP,Notebook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,613.15
HP,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,881.68
HP,Notebook,17.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,668.13
Dell,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1179.62
Lenovo,Notebook,15.6,Intel Core i5-6200U 2.3GHz,4GB,Windows 10,2016,315.2
Acer,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,474.41
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1118.24
Dell,Workstation,15.6,Intel Xeon E3-1505M V6 3GHz,16GB,Windows 10,2016,1953.24
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,No OS,2017,893.83
Dell,Notebook,15.6,Intel Core i3-7100U 2.4GHz,6GB,Windows 10,2017,280.68
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,1246.11
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,926.43
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,381.7
Acer,Notebook,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Linux,2017,498.06
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,899.58
HP,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,No OS,2016,223.14
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,No OS,2017,351.01
Huawei,Ultrabook,13,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,958.4
Dell,Ultrabook,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,595.81
Lenovo,Notebook,17.3,Intel Core i5-7200U 2.5GHz,8GB,No OS,2017,376.58
HP,Notebook,14,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,659.18
Dell,Ultrabook,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,734.62
Dell,2-in-1 Convertible,13.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,817.74
Dell,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Linux,2018,433.07
Lenovo,2-in-1 Convertible,14,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,574.78
Toshiba,Ultrabook,13.3,Intel Core i7-6500U 2.5GHz,8GB,Windows 10,2016,871.45
HP,Notebook,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,507.65
Dell,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1570.49
Acer,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,531.95
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,16GB,Windows 10,2017,549.22
Asus,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,491.67
Asus,Notebook,17.3,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,569.67
HP,Notebook,15.6,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,811.35
Asus,Notebook,15.6,Intel Core i3-7100U 2.4GHz,4GB,Windows 10,2017,255.1
HP,Notebook,15.6,AMD E-Series 9000e 1.5GHz,4GB,Windows 10,2016,210.99
Lenovo,Gaming,15.6,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,958.4
Dell,Notebook,14,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,549.21
Acer,2-in-1 Convertible,13.3,Intel Core i5-6200U 2.3GHz,8GB,Windows 10,2016,440.52
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,16GB,Linux,2017,574.78
Acer,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,Linux,2016,249.35
Asus,Notebook,15.6,AMD A10-Series A10-9620P 2.5GHz,4GB,Windows 10,2017,367.63
Asus,Gaming,17.3,Intel Core i7-7820HK 2.9GHz,32GB,Windows 10,2017,2487.11
Acer,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,540.9
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,8GB,Windows 10,2016,376.58
Asus,Notebook,17.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,732.07
Asus,Notebook,17.3,Intel Core i7-7500U 2.7GHz,8GB,No OS,2017,568.39
Dell,Gaming,15.6,Intel Core i5-7300HQ 2.5GHz,8GB,Windows 10,2017,562
Lenovo,2-in-1 Convertible,13.9,Intel Core i7-7500U 2.7GHz,8GB,Windows 10,2017,689.87
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,629.77
HP,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,357.4
Asus,Gaming,17.3,Intel Core i7-7820HK 2.9GHz,16GB,Windows 10,2017,1917.44
HP,Notebook,13.3,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,431.57
Apple,MacBook Pro,13.3,Intel Core i5-7267U 3.1GHz,8GB,macOS,2017,1304.29
Dell,2-in-1 Convertible,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,523.64
Asus,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1150.21
Asus,Notebook,15.6,AMD A9-9420 3.0GHz,4GB,Windows 10,2017,299.86
Lenovo,2-in-1 Convertible,13.9,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,1182.18
Acer,Notebook,17.3,Intel Core i3-7130U 2.7GHz,4GB,Windows 10,2017,448.83
Dell,Ultrabook,13.3,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,606.75
HP,Notebook,15.6,AMD A6-Series A6-9220 2.5GHz,8GB,Windows 10,2017,285.09
HP,Notebook,17.3,Intel Core i7-8550U 1.8GHz,16GB,Windows 10,2018,677.08
MSI,Gaming,17.3,Intel Core i7-7700HQ 2.8GHz,16GB,Windows 10,2017,1597.76
Lenovo,2-in-1 Convertible,15.6,Intel Core i7-7700HQ 2.8GHz,8GB,Windows 10,2017,1086.27
Dell,Notebook,17.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,730.15
Lenovo,Notebook,15.6,Intel Core i3-6006U 2.0GHz,4GB,No OS,2016,283.88
HP,Notebook,15.6,Intel Core i5-8250U 1.6GHz,4GB,Windows 10,2018,461.62
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,Windows 10,2017,420.06
Dell,Notebook,15.6,Intel Core i5-7200U 2.5GHz,8GB,Windows 10,2017,361.24
Dell,2-in-1 Convertible,15.6,Intel Core i5-8250U 1.6GHz,8GB,Windows 10,2018,510.85
Asus,2-in-1 Convertible,13.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,958.4
Lenovo,Notebook,15.6,Intel Core i5-7200U 2.5GHz,4GB,No OS,2017,298.58
HP,Notebook,17.3,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,650.87
Lenovo,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,562.64
Apple,MacBook Pro,13.3,Intel Core i5-6267U 2.9GHz,8GB,macOS,2016,1252.44
Asus,Gaming,17.3,AMD Ryzen 1700 3GHz,16GB,Windows 10,2018,990.37
Dell,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Linux,2018,469.97
Lenovo,2-in-1 Convertible,14,Intel Core i7-6600U 2.6GHz,16GB,Windows 10,2016,1597.76
Toshiba,Notebook,15.6,Intel Core i7-6500U 2.5GHz,8GB,Windows 10,2016,519.16
Dell,Notebook,15.6,Intel Core i7-7500U 2.7GHz,12GB,Windows 10,2017,455.91
Dell,Notebook,17.3,Intel Core i7-8550U 1.8GHz,8GB,Linux,2018,702.66
Acer,Notebook,15.6,Intel Core i7-8550U 1.8GHz,8GB,Windows 10,2018,476.32
Lenovo,Notebook,17.3,Intel Core i3-6006U 2.0GHz,4GB,Windows 10,2016,312.65
